crop_name,Nitrogen (%),Phosphorous (%),Potassium (%),Soil Moisture (%),Number of times of irrigation in a day,Number of days of irrigation in a week,Latitude,Soil pH,Temperature (C),Humidity (%)
Maize,0.18-0.22,0.13-0.17,0.28-0.32,60-70,1,3,1.2900-1.2950,5.5-7.0,24-28,60-70
Rice,0.23-0.27,0.16-0.20,0.26-0.30,70-80,2,6,1.2900-1.2950,5.0-6.5,26-32,70-85
Wheat,0.16-0.19,0.11-0.13,0.23-0.27,50-60,1,3,1.2900-1.2950,6.0-7.5,15-20,40-60
Sorghum,0.14-0.16,0.09-0.11,0.19-0.21,40-50,1,2,1.2900-1.2950,5.5-7.0,25-30,55-65
Millet,0.11-0.13,0.07-0.09,0.17-0.19,30-40,1,2,1.2900-1.2950,5.0-6.5,28-32,55-65
Beans,0.19-0.21,0.13-0.15,0.24-0.26,60-70,1,3,1.2900-1.2950,5.5-7.0,20-25,60-70
Peas,0.17-0.19,0.12-0.14,0.19-0.21,55-65,1,3,1.2900-1.2950,5.5-7.0,15-20,65-75
Sweet Potatoes,0.14-0.16,0.10-0.12,0.20-0.24,70-80,1,2,1.2900-1.2950,5.5-7.0,25-30,70-80
Irish Potatoes,0.15-0.17,0.13-0.15,0.22-0.26,75-85,1,3,1.2900-1.2950,5.5-7.0,15-20,75-85
Cassava,0.12-0.14,0.09-0.11,0.18-0.22,65-75,1,2,1.2900-1.2950,5.5-7.0,23-28,65-75
Taro,0.18-0.22,0.14-0.16,0.23-0.27,80-90,2,6,1.2900-1.2950,5.5-7.0,26-32,75-90
Groundnuts,0.18-0.22,0.12-0.14,0.23-0.27,60-70,1,2,1.2900-1.2950,5.5-7.0,22-26,60-70
Soybeans,0.20-0.24,0.14-0.16,0.26-0.30,55-65,1,3,1.2900-1.2950,5.5-7.0,20-25,55-65
Sunflower,0.14-0.16,0.11-0.13,0.19-0.21,50-60,1,2,1.2900-1.2950,5.5-7.0,22-28,55-65
Cabbage,0.17-0.19,0.14-0.16,0.21-0.23,60-70,1,3,1.2900-1.2950,5.5-7.0,18-22,65-75
Carrots,0.15-0.17,0.13-0.15,0.20-0.24,65-75,1,3,1.2900-1.2950,5.5-7.0,16-20,70-80
Tomatoes,0.19-0.22,0.14-0.16,0.23-0.27,70-80,1,3,1.2900-1.2950,5.5-7.0,18-26,75-85
Onions,0.16-0.18,0.12-0.14,0.21-0.25,65-75,1,3,1.2900-1.2950,5.5-7.0,18-24,70-80
Kales,0.18-0.20,0.13-0.15,0.22-0.26,60-70,1,3,1.2900-1.2950,5.5-7.0,18-22,65-75
Okra,0.17-0.19,0.13-0.15,0.21-0.25,70-80,1,3,1.2900-1.2950,5.5-7.0,24-30,70-85
Pumpkin,0.14-0.16,0.12-0.14,0.20-0.24,65-75,1,2,1.2900-1.2950,5.5-7.0,22-28,70-80
Chili Peppers,0.18-0.20,0.13-0.15,0.23-0.27,80-90,2,4,1.2900-1.2950,5.5-7.0,20-28,75-85
Eggplant,0.16-0.18,0.12-0.14,0.21-0.25,60-70,1,3,1.2900-1.2950,5.5-7.0,18-24,65-75
Coriander,0.14-0.16,0.11-0.13,0.20-0.22,55-65,1,2,1.2900-1.2950,5.5-7.0,18-24,60-70
Lettuce,0.17-0.19,0.13-0.15,0.21-0.25,60-70,1,3,1.2900-1.2950,5.5-7.0,16-20,70-80
Spinach,0.19-0.22,0.14-0.16,0.23-0.27,65-75,1,3,1.2900-1.2950,5.5-7.0,18-24,70-80
Beetroot,0.15-0.17,0.12-0.14,0.20-0.24,70-80,1,2,1.2900-1.2950,5.5-7.0,18-22,70-80
Coffee,0.16-0.20,0.12-0.16,0.22-0.28,60-80,1,3,1.2900-1.2950,4.5-6.5,18-24,70-85
Tea,0.15-0.19,0.11-0.15,0.20-0.26,65-85,1,4,1.2900-1.2950,4.0-6.0,16-22,75-90
Avocado,0.17-0.21,0.13-0.17,0.24-0.30,70-85,1,3,1.2900-1.2950,5.5-7.0,20-28,70-85
Mango,0.14-0.18,0.10-0.14,0.20-0.26,60-75,1,2,1.2900-1.2950,5.5-7.5,24-32,60-80
Passion Fruit,0.18-0.22,0.14-0.18,0.25-0.31,75-85,1,4,1.2900-1.2950,5.5-7.0,20-26,75-85
Banana,0.20-0.26,0.15-0.19,0.28-0.35,80-90,2,7,1.2900-1.2950,5.5-7.0,24-30,75-85
Pineapple,0.16-0.20,0.12-0.16,0.22-0.28,70-85,1,3,1.2900-1.2950,4.5-6.5,22-30,70-85
Papaya,0.18-0.22,0.14-0.18,0.24-0.30,75-85,1,4,1.2900-1.2950,5.5-7.0,24-32,75-85
Coconut,0.15-0.19,0.11-0.15,0.21-0.27,70-85,1,2,1.2900-1.2950,5.0-7.0,24-32,70-85
Macadamia,0.16-0.20,0.12-0.16,0.23-0.29,65-80,1,3,1.2900-1.2950,5.0-6.5,18-26,65-80
Sugarcane,0.22-0.28,0.16-0.22,0.30-0.38,80-95,2,7,1.2900-1.2950,5.0-7.0,22-32,75-90
Cotton,0.18-0.24,0.14-0.20,0.26-0.34,60-80,1,3,1.2900-1.2950,5.5-8.0,22-32,60-80
Pyrethrum,0.17-0.21,0.13-0.17,0.23-0.29,70-85,1,4,1.2900-1.2950,5.5-7.0,16-22,70-85
Sisal,0.12-0.16,0.08-0.12,0.18-0.24,40-60,1,1,1.2900-1.2950,6.0-8.0,20-30,50-70
Cowpeas,0.19-0.23,0.13-0.17,0.24-0.30,55-70,1,2,1.2900-1.2950,5.5-7.0,22-28,55-70
Green Grams,0.18-0.22,0.12-0.16,0.23-0.29,50-65,1,2,1.2900-1.2950,5.5-7.0,20-26,50-65
Finger Millet,0.13-0.17,0.09-0.13,0.19-0.25,35-50,1,2,1.2900-1.2950,5.0-7.0,24-30,55-70
Amaranth,0.16-0.20,0.12-0.16,0.21-0.27,55-70,1,3,1.2900-1.2950,5.5-7.0,20-28,60-75
Ethiopian Kale,0.18-0.22,0.13-0.17,0.22-0.28,60-75,1,3,1.2900-1.2950,5.5-7.0,18-24,65-80
African Nightshade,0.17-0.21,0.13-0.17,0.21-0.27,65-80,1,3,1.2900-1.2950,5.5-7.0,20-26,70-85
Spider Plant,0.16-0.20,0.12-0.16,0.20-0.26,60-75,1,3,1.2900-1.2950,5.5-7.0,18-24,65-80
Arrowroot,0.15-0.19,0.11-0.15,0.19-0.25,80-95,2,6,1.2900-1.2950,5.0-7.0,22-28,80-95
Yam,0.16-0.20,0.12-0.16,0.21-0.27,75-90,1,3,1.2900-1.2950,5.5-7.0,24-30,75-90
Black Beans,0.20-0.24,0.14-0.18,0.25-0.31,60-75,1,3,1.2900-1.2950,5.5-7.0,20-26,60-75
Pigeon Peas,0.17-0.21,0.12-0.16,0.22-0.28,50-65,1,2,1.2900-1.2950,5.5-7.5,22-30,55-70
Sesame,0.15-0.19,0.11-0.15,0.20-0.26,45-60,1,2,1.2900-1.2950,5.5-7.5,24-32,50-70
Safflower,0.16-0.20,0.12-0.16,0.21-0.27,50-65,1,2,1.2900-1.2950,6.0-8.0,20-28,50-65
Moringa,0.18-0.22,0.14-0.18,0.23-0.29,60-80,1,3,1.2900-1.2950,5.5-7.5,22-32,60-80
Baobab,0.14-0.18,0.10-0.14,0.19-0.25,40-60,1,1,1.2900-1.2950,6.0-8.0,22-35,40-65
Tamarind,0.15-0.19,0.11-0.15,0.20-0.26,50-70,1,2,1.2900-1.2950,5.5-7.5,24-32,60-75
Jackfruit,0.17-0.21,0.13-0.17,0.23-0.29,75-90,1,4,1.2900-1.2950,5.5-7.0,24-32,75-90
Breadfruit,0.16-0.20,0.12-0.16,0.22-0.28,80-95,1,5,1.2900-1.2950,5.0-7.0,24-30,80-95
Plantain,0.19-0.25,0.14-0.20,0.27-0.35,80-90,2,7,1.2900-1.2950,5.5-7.0,24-30,75-85
Sweet Corn,0.18-0.24,0.13-0.19,0.26-0.34,65-80,1,4,1.2900-1.2950,5.5-7.0,20-28,65-80
Watermelon,0.14-0.18,0.11-0.15,0.20-0.26,70-85,1,3,1.2900-1.2950,5.5-7.0,22-30,70-85
Cucumber,0.16-0.20,0.12-0.16,0.21-0.27,75-90,1,4,1.2900-1.2950,5.5-7.0,18-26,75-90
Zucchini,0.17-0.21,0.13-0.17,0.22-0.28,70-85,1,4,1.2900-1.2950,5.5-7.0,18-24,70-85
Butternut Squash,0.15-0.19,0.11-0.15,0.20-0.26,65-80,1,3,1.2900-1.2950,5.5-7.0,20-26,65-80
Leek,0.18-0.22,0.14-0.18,0.23-0.29,70-85,1,4,1.2900-1.2950,5.5-7.0,16-22,75-85
Garlic,0.17-0.21,0.13-0.17,0.22-0.28,60-75,1,3,1.2900-1.2950,6.0-7.5,16-20,65-75
Ginger,0.16-0.20,0.12-0.16,0.21-0.27,80-95,1,5,1.2900-1.2950,5.5-7.0,22-30,80-95
Turmeric,0.17-0.21,0.13-0.17,0.22-0.28,75-90,1,4,1.2900-1.2950,5.5-7.0,24-30,75-90
Cardamom,0.18-0.22,0.14-0.18,0.23-0.29,85-95,2,6,1.2900-1.2950,5.0-6.5,18-25,85-95
Black Pepper,0.19-0.23,0.15-0.19,0.24-0.30,80-90,1,5,1.2900-1.2950,5.5-7.0,20-28,80-90
Vanilla,0.20-0.24,0.16-0.20,0.25-0.31,85-95,2,6,1.2900-1.2950,5.5-7.0,22-28,85-95
Lemongrass,0.16-0.20,0.12-0.16,0.21-0.27,65-80,1,3,1.2900-1.2950,5.5-7.5,22-32,65-80
Mint,0.18-0.22,0.14-0.18,0.23-0.29,75-90,1,5,1.2900-1.2950,5.5-7.0,18-24,75-90
Basil,0.17-0.21,0.13-0.17,0.22-0.28,70-85,1,4,1.2900-1.2950,5.5-7.0,20-26,70-85
Rosemary,0.15-0.19,0.11-0.15,0.20-0.26,50-65,1,2,1.2900-1.2950,6.0-8.0,18-26,60-75
Thyme,0.16-0.20,0.12-0.16,0.21-0.27,55-70,1,3,1.2900-1.2950,6.0-7.5,18-24,65-75
Oregano,0.17-0.21,0.13-0.17,0.22-0.28,60-75,1,3,1.2900-1.2950,6.0-7.5,18-26,65-75
Sage,0.15-0.19,0.11-0.15,0.20-0.26,50-65,1,2,1.2900-1.2950,6.5-8.0,16-24,60-70
Cilantro,0.16-0.20,0.12-0.16,0.21-0.27,65-80,1,3,1.2900-1.2950,5.5-7.0,18-24,70-80
Parsley,0.18-0.22,0.14-0.18,0.23-0.29,70-85,1,4,1.2900-1.2950,5.5-7.0,16-22,75-85
Dill,0.16-0.20,0.12-0.16,0.21-0.27,60-75,1,3,1.2900-1.2950,5.5-7.0,16-22,65-75
Fennel,0.17-0.21,0.13-0.17,0.22-0.28,65-80,1,3,1.2900-1.2950,5.5-7.0,18-24,70-80
Chives,0.18-0.22,0.14-0.18,0.23-0.29,70-85,1,4,1.2900-1.2950,5.5-7.0,16-20,75-85
Tarragon,0.16-0.20,0.12-0.16,0.21-0.27,60-75,1,3,1.2900-1.2950,6.0-7.5,16-22,65-75
Marjoram,0.15-0.19,0.11-0.15,0.20-0.26,55-70,1,3,1.2900-1.2950,6.0-7.5,18-24,60-70
African Potato,0.14-0.18,0.10-0.14,0.19-0.25,75-90,1,3,1.2900-1.2950,5.5-7.0,22-28,75-90
Plantain Banana,0.20-0.26,0.15-0.21,0.28-0.36,85-95,2,7,1.2900-1.2950,5.5-7.0,24-30,80-90
Red Banana,0.19-0.25,0.14-0.20,0.27-0.35,80-90,2,7,1.2900-1.2950,5.5-7.0,24-30,75-85
